id;username;keyactivation;productname;nbreposte;nbreinstanceon
1;deposit Buckinghamshire;Sleek Steel Fish Arkansas Intelligent Rubber Bacon;Operations deliverables card;73828;96874
2;Uganda;Movies Pakistan Rupee;sensor Frozen North Dakota;67867;51377
3;object-oriented Canyon Manager;portals Berkshire;zero administration Directives;35735;61472
4;navigate;Shoes Officer Tools;feed;41458;47980
5;Architect Intelligent payment;Cambridgeshire customized Refined Steel Car;South Carolina;87544;84266
6;vortals JSON Ergonomic;invoice RSS Markets;Refined Soft Tuna paradigms microchip;39688;27235
7;coherent systems Borders;Awesome Concrete Car Auto Loan Account;Optimization Hat Cambridgeshire;66161;37961
8;Chief Generic Concrete Gloves;policy;calculating SMTP;63155;50023
9;Salad initiatives grey;haptic Outdoors payment;Wyoming;99018;62784
10;Branding;explicit Dalasi zero administration;holistic;64662;21452
